Type,Price/m,Bedrooms,Location,Area,URL
Flat,K3500,3,,Lusaka | lilayi,https://sakilahomes.com/post/2583/2--bedroom--lilayi--k3500/
Flat,K7500,2,,Lusaka | kabulonga,https://sakilahomes.com/post/2584/2-bedroom--kabulonga---k7500/
Flat,K5500,2,,Lusaka | ibex hill,https://sakilahomes.com/post/2585/2-bedroom--ibex---k5500/
Flat,K6000,2,,Lusaka | meanwood,https://sakilahomes.com/post/2586/2-bedroom--meanwood-vorna-valley-k6000/
Flat,K6500,2,,Lusaka | lilayi,https://sakilahomes.com/post/2520/2-bedroom-lilayi-k6500/
Flat,K5000,2,,Lusaka | new kasama,https://sakilahomes.com/post/2521/2-bedroom--new-kasama--k5000/
house,K6000,3,,Lusaka | meanwood ndeke,https://sakilahomes.com/post/2522/3-bedroom--meanwood-ndeke-k6000/
house,K10000,3,,Lusaka | meanwood,https://sakilahomes.com/post/2523/3-bedroom--ibex-meanwood-k10000/
house,K10000,3,,Lusaka | silverest,https://sakilahomes.com/post/2524/3-bedroom--silverest-k10000/
Flat,K8000,3,,Lusaka | libala-south,https://sakilahomes.com/post/2525/3-bedroom-libala-south--k8000/
Flat,K5000,3,,Lusaka | chalala,https://sakilahomes.com/post/2526/3-bedroom-chalala--k5000/
Flat,K6000,2,,Lusaka | lilayi,https://sakilahomes.com/post/2527/2-bedroom-lilayi-k6000/
Flat,K7500,2,,Lusaka | chalala,https://sakilahomes.com/post/2528/2-bedroom--chalala--k7500/
Flat,K8500,2,,Lusaka | makeni,https://sakilahomes.com/post/2529/2-bedroom-makeni-k8500/
house,K8000,3,,Lusaka | makeni,https://sakilahomes.com/post/2530/3-bedroom-makeni-k8000/
Flat,K7500,2,,Lusaka | chalala,https://sakilahomes.com/post/2531/2-bedroom-chalala--k7500/
Flat,K4600,2,,Lusaka | chalala,https://sakilahomes.com/post/2532/2-bedroom--chalala--k4600/
Flat,K3600,1,,Lusaka | chalala,https://sakilahomes.com/post/2533/1-bedroom-chalala--k3600/
Flat,K5500,2,,Lusaka | chalala,https://sakilahomes.com/post/2534/2-bedroom-chalala--k5500/
inside_room,K1500,1,,Lusaka | chalala,https://sakilahomes.com/post/2535/inside-room--chalala--k1500/
